summonerName,count,win,winRate,totalDamageDealt,damageDealtToObjectives,totalDamageDealtToChampions,damageDealtToTurrets,inhibitorKills,firstTowerKill,turretKills,goldEarned,goldSpent,champLevel,totalMinionsKilled,firstBloodKill,firstInhibitorKill,neutralMinionsKilledTeamJungle,neutralMinionsKilledEnemyJungle,neutralMinionsKilled,visionScore,wardsPlaced,wardsKilled,kda
MapleStory275LV,25,14.0,0.56,144279.36,7038.92,19337.72,3426.12,0.24,0.0,1.24,12547.96,11399.2,15.44,201.2,0.08,0.12,8.36,1.68,11.72,27.88,12.24,3.32,6.512666666666668
Me1k0,27,13.0,0.48148148148148145,43272.0,2203.259259259259,12178.111111111111,1202.888888888889,0.0,0.0,0.25925925925925924,8412.074074074075,7782.592592592592,12.592592592592593,55.48148148148148,0.037037037037037035,0.0,0.6666666666666666,0.07407407407407407,1.4814814814814814,59.370370370370374,31.11111111111111,7.148148148148148,2.8734220511998294
Mei Chang,28,8.0,0.2857142857142857,160474.0357142857,22748.428571428572,21056.535714285714,1866.2857142857142,0.10714285714285714,0.21428571428571427,1.1785714285714286,12593.42857142857,12061.785714285714,14.571428571428571,50.17857142857143,0.17857142857142858,0.10714285714285714,74.03571428571429,13.642857142857142,119.28571428571429,30.0,9.535714285714286,5.714285714285714,4.122236394557822
Mei Tian Kun,35,23.0,0.6571428571428571,120232.88571428572,5126.285714285715,16222.771428571428,2728.0857142857144,0.14285714285714285,0.0,1.0,10435.828571428572,9491.285714285714,14.0,179.88571428571427,0.02857142857142857,0.02857142857142857,9.628571428571428,1.7714285714285714,14.257142857142858,23.17142857142857,7.828571428571428,4.228571428571429,5.609829059829058
Mocha,16,5.0,0.3125,34058.75,1101.4375,10032.3125,577.5,0.0625,0.0,0.125,7288.875,6858.125,11.375,43.625,0.0,0.0,2.0,0.3125,2.3125,50.6875,28.375,6.0625,2.072395833333333
NYG ChungSin,1,1.0,1.0,143024.0,17310.0,13655.0,3463.0,0.0,0.0,1.0,12269.0,11675.0,14.0,168.0,1.0,0.0,15.0,0.0,24.0,40.0,14.0,9.0,1.8888888888888888
Naehyun,12,6.0,0.5,128533.58333333333,12345.25,12762.916666666666,1265.25,0.08333333333333333,0.08333333333333333,0.75,10265.416666666666,9489.166666666666,14.166666666666666,133.41666666666666,0.0,0.0,28.666666666666668,4.333333333333333,44.916666666666664,28.916666666666668,11.166666666666666,4.333333333333333,6.908928571428572
NeedChange,6,4.0,0.6666666666666666,153991.0,11865.333333333334,21108.0,4790.166666666667,0.0,0.16666666666666666,2.1666666666666665,11928.833333333334,11282.5,13.333333333333334,184.5,0.0,0.0,9.0,5.666666666666667,16.0,28.166666666666668,10.166666666666666,4.666666666666667,3.4222222222222225
No Patience,19,10.0,0.5263157894736842,152018.2105263158,19900.473684210527,18497.894736842107,1321.578947368421,0.0,0.15789473684210525,1.368421052631579,11548.526315789473,10387.315789473685,14.210526315789474,56.89473684210526,0.15789473684210525,0.0,64.78947368421052,17.473684210526315,109.78947368421052,26.31578947368421,4.473684210526316,6.2105263157894735,6.188408521303259
O So1e Mio,18,11.0,0.6111111111111112,159478.72222222222,12664.5,23335.333333333332,5249.222222222223,0.3333333333333333,0.1111111111111111,1.8888888888888888,13830.277777777777,12498.888888888889,14.166666666666666,205.0,0.0,0.16666666666666666,8.555555555555555,1.2777777777777777,12.5,29.833333333333332,11.666666666666666,7.055555555555555,4.544510582010582
